filter,clusters_mean_isi_spike,clusters_isi,clusters_spike
OF_fast_sustained,1,1,1
OF_fast_sustained,1,1,1
OF_fast_sustained,1,2,1
OF_fast_sustained,1,1,1
OF_fast_sustained,1,1,1
OF_fast_sustained,1,1,1
OF_fast_sustained,1,2,1
OF_fast_sustained,1,1,1
OF_fast_sustained,1,2,1
OF_fast_sustained,1,1,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,1,1
OF_slow_sustained,1,2,1
OF_slow_sustained,1,2,1
OF_fast_transient,1,1,1
OF_fast_transient,1,1,2
OF_fast_transient,1,1,1
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_fast_transient,1,2,2
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_fast_transient,1,1,2
OF_slow_transient,1,2,1
OF_slow_transient,1,2,1
OF_slow_transient,1,2,1
OF_slow_transient,1,2,1
OF_slow_transient,1,2,1
OF_slow_transient,1,2,1
OF_slow_transient,1,1,1
OF_slow_transient,1,2,1
OF_slow_transient,1,2,1
OF_slow_transient,1,1,1
